#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
33,Canada,"4,056,133",0,"42,681",0,N/A,N/A,N/A,195,"105,539","1,111","62,586,673","1,628,482","38,432,524",North America,9,900,1,0,0,"8,264"
195,Caribbean Netherlands,"10,888",0,35,0,"10,476",0,377,0,"407,302","1,309","30,126","1,126,964","26,732",North America,2,764,1,0,0,"14,103"
167,Cayman Islands,"29,419",0,29,0,"8,553",0,"20,837",1,"436,924",431,"222,773","3,308,575","67,332",North America,2,"2,322",0,0,0,"309,467"
204,Chad,"7,437",0,193,0,"4,874",0,"2,370",0,427,11,"191,341","10,991","17,409,288",Africa,"2,341","90,204",91,0,0,136
132,Channel Islands,"88,529",0,195,0,"87,553",0,781,0,"499,582","1,100","1,252,808","7,069,783","177,206",Europe,2,909,0,0,0,"4,407"
32,Chile,"4,274,613",0,"59,698",0,"3,975,681",0,"239,234",165,"219,678","3,068","42,263,427","2,171,974","19,458,534",South America,5,326,0,0,0,"12,295"
230,China,"230,135",+222,"5,226",0,"223,286",+147,"1,623",1,160,4,"160,000,000","111,163","1,439,323,776",Asia,"6,254","275,416",9,0.2,0,1
19,Colombia,"6,278,998",0,"141,075",0,"6,096,946",0,"40,977",342,"120,717","2,712","36,086,570","693,781","52,014,387",South America,8,369,1,0,0,788
201,Comoros,"8,329",0,160,0,"7,933",0,236,0,"9,170",176,0,0,"908,250",Africa,109,"5,677",0,0,0,260
171,Congo,"24,775",0,386,0,"20,178",0,"4,211",0,"4,270",67,"347,815","59,953","5,801,470",Africa,234,"15,030",17,0,0,726
210,Cook Islands,"6,122",0,1,0,"6,038",0,83,0,"347,880",57,"19,690","1,118,877","17,598",Australia/Oceania,3,"17,598",1,0,0,"4,716"
67,Costa Rica,"1,005,223",0,"8,720",0,"860,711",0,"135,792",52,"193,641","1,680","4,659,757","897,632","5,191,164",North America,5,595,1,0,0,"26,158"
59,Croatia,"1,191,079",0,"16,365",0,"1,164,965",0,"9,749",27,"293,913","4,038","5,062,571","1,249,250","4,052,488",Europe,3,248,1,0,0,"2,406"
62,Cuba,"1,108,492",0,"8,529",0,"1,099,441",0,522,23,"97,991",754,"13,997,964","1,237,422","11,312,198",North America,10,"1,326",1,0,0,46
153,Curaçao,"45,127",0,282,0,"44,720",0,125,3,"272,682","1,704","496,693","3,001,293","165,493",North America,4,587,0,0,0,755
86,Cyprus,"562,911",0,"1,115",0,"124,370",0,"437,426",60,"459,259",910,"9,572,310","7,809,706","1,225,694",Asia,2,"1,099",0,0,0,"356,880"
35,Czechia,"3,996,433","+2,149","40,544",+5,"3,934,243","+4,469","21,646",35,"371,747","3,771","55,789,495","5,189,518","10,750,419",Europe,3,265,0,200,0.5,"2,014"
24,DPRK,"4,772,813",0,74,0,"4,772,739",0,0,0,"183,468",3,0,0,"26,014,475",Asia,5,"351,547",0,0,0,0
