#,Country/Other,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious/Critical,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/  1M pop ,Population,Continent,1 Case every X ppl,1 Death every X ppl,1 Test every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
84,Palestine,"598,019",0,"5,368",0,"584,777",0,"7,874",17,"111,803","1,004","3,078,533","575,551","5,348,841",Asia,9,996,2,0,0,"1,472"
73,Panama,"954,369",0,"8,425",0,"938,038",0,"7,906",16,"214,153","1,891","6,772,690","1,519,739","4,456,481",North America,5,529,1,0,0,"1,774"
154,Papua New Guinea,"44,798",0,663,0,"43,982",0,153,7,"4,817",71,"249,149","26,788","9,300,634",Australia/Oceania,208,"14,028",37,0,0,16
78,Paraguay,"707,109",0,"19,220",0,"676,279",0,"11,610",6,"96,661","2,627","2,646,163","361,728","7,315,331",South America,10,381,3,0,0,"1,587"
37,Peru,"3,940,482",0,"214,480",0,"3,602,373",0,"123,629",241,"116,135","6,321","33,232,447","979,437","33,930,141",South America,9,158,1,0,0,"3,644"
38,Philippines,"3,790,309",0,"60,773",0,"3,695,323",0,"34,213",733,"33,655",540,"31,587,125","280,465","112,624,069",Asia,30,"1,853",4,0,0,304
21,Poland,"6,084,876",0,"116,628",0,"5,335,855",0,"632,393","2,389","161,145","3,089","36,698,610","971,887","37,760,169",Europe,6,324,1,0,0,"16,748"
22,Portugal,"5,356,285",0,"24,656",0,"5,209,885",0,"121,744",61,"528,509","2,433","43,527,258","4,294,868","10,134,714",Europe,2,411,0,0,0,"12,013"
95,Qatar,"412,137",0,681,0,"404,665",0,"6,791",2,"146,783",243,"3,765,510","1,341,087","2,807,805",Asia,7,"4,123",1,0,0,"2,419"
39,Romania,"3,098,268",0,"66,117",0,"2,915,542",0,"116,609",283,"163,323","3,485","24,161,343","1,273,650","18,970,156",Europe,6,287,1,0,0,"6,147"
9,Russia,"18,672,422","+18,555","382,651",+47,"18,019,883","+9,817","269,888","2,300","127,836","2,620","273,400,000","1,871,770","146,064,968",Europe,8,382,1,127,0.3,"1,848"
125,Rwanda,"132,276",0,"1,466",0,"45,522",0,"85,288",0,"9,710",108,"5,677,519","416,787","13,622,107",Africa,103,"9,292",2,0,0,"6,261"
93,Réunion,"434,924",0,838,0,"418,572",0,"15,514",10,"478,653",922,"1,603,660","1,764,899","908,641",Africa,2,"1,084",1,0,0,"17,074"
8,S. Korea,"20,273,011","+112,857","25,191",+47,"18,762,912","+26,265","1,484,908",320,"394,714",490,"15,804,065","307,704","51,361,209",Asia,3,"2,039",3,"2,197",0.9,"28,911"
229,Saint Helena,2,0,0,0,2,0,0,0,327,0,0,0,"6,115",Africa,"3,058",0,0,0,0,0
208,Saint Kitts and Nevis,"6,470",0,46,0,"6,396",0,28,0,"119,850",852,"108,021","2,000,982","53,984",North America,8,"1,174",0,0,0,519
168,Saint Lucia,"28,062",0,386,0,"27,456",0,220,0,"151,377","2,082","209,716","1,131,289","185,378",North America,7,480,1,0,0,"1,187"
194,Saint Martin,"11,667",0,63,0,"1,399",0,"10,205",7,"291,369","1,573","112,382","2,806,603","40,042",North America,3,636,0,0,0,"254,857"
217,Saint Pierre Miquelon,"3,112",0,1,0,"2,449",0,662,1,"542,633",174,"24,848","4,332,694","5,735",North America,2,"5,735",0,0,0,"115,432"
185,Samoa,"15,405",0,29,0,"1,605",0,"13,771",4,"76,579",144,"177,396","881,848","201,164",Australia/Oceania,13,"6,937",1,0,0,"68,457"
176,San Marino,"19,983",0,118,0,"19,617",0,248,4,"586,356","3,462","157,634","4,625,411","34,080",Europe,2,289,0,0,0,"7,277"
211,Sao Tome and Principe,"6,115",0,75,0,"6,023",0,17,0,"26,861",329,"29,036","127,547","227,650",Africa,37,"3,035",8,0,0,75
76,Saudi Arabia,"810,583",0,"9,257",0,"796,701",0,"4,625",113,"22,551",258,"43,929,393","1,222,125","35,945,076",Asia,44,"3,883",1,0,0,129
134,Senegal,"87,513",0,"1,968",0,"85,342",0,203,0,"4,954",111,"1,140,607","64,570","17,664,545",Africa,202,"8,976",15,0,0,11
43,Serbia,"2,148,615",0,"16,319",0,"2,040,372",0,"91,924",35,"247,994","1,884","10,296,026","1,188,370","8,663,990",Europe,4,531,1,0,0,"10,610"
152,Seychelles,"45,540",0,168,0,"45,230",0,142,0,"457,151","1,686",0,0,"99,617",Africa,2,593,0,0,0,"1,425"
202,Sierra Leone,"7,736",0,125,0,N/A,N/A,N/A,0,930,15,"259,958","31,262","8,315,441",Africa,"1,075","66,524",32,0,0,336
47,Singapore,"1,742,874",0,"1,531",0,"1,645,378",0,"95,965",17,"293,101",257,"24,265,502","4,080,753","5,946,329",Asia,3,"3,884",0,0,0,"16,139"
196,Sint Maarten,"10,765",0,87,0,"10,658",0,20,10,"245,261","1,982","62,056","1,413,834","43,892",North America,4,505,1,0,0,456
46,Slovakia,"1,821,908",+947,"20,248",+6,"1,790,176","+1,009","11,484",39,"333,368","3,705","7,235,238","1,323,885","5,465,157",Europe,3,270,1,173,1,"2,101"
64,Slovenia,"1,089,921",0,"6,705",0,"1,058,993",0,"24,223",17,"524,118","3,224","2,705,662","1,301,091","2,079,534",Europe,2,310,1,0,0,"11,648"
173,Solomon Islands,"21,544",0,153,0,"16,357",0,"5,034",1,"29,838",212,"5,117","7,087","722,028",Australia/Oceania,34,"4,719",141,0,0,"6,972"
170,Somalia,"27,020",0,"1,350",0,"13,182",0,"12,488",0,"1,607",80,"400,466","23,811","16,818,368",Africa,622,"12,458",42,0,0,743
34,South Africa,"4,004,555",0,"101,982",0,"3,897,607",0,"4,966",192,"65,790","1,675","25,975,203","426,741","60,868,811",Africa,15,597,2,0,0,82
0,South America,"62,512,645","+4,348","1,317,569",+3,"59,791,413","+9,087","1,403,663","10,564",0,0,0,0,0,South America,0,0,0,0,0,0
181,South Sudan,"17,780",0,138,0,"15,630",0,"2,012",1,"1,550",12,"410,280","35,778","11,467,530",Africa,645,"83,098",28,0,0,175
12,Spain,"13,245,996",0,"110,719",0,"12,707,465",0,"427,812",339,"283,079","2,366","471,036,328","10,066,482","46,792,547",Europe,4,423,0,0,0,"9,143"
79,Sri Lanka,"666,232",0,"16,574",0,"648,164",0,"1,494",0,"30,843",767,"6,486,117","300,276","21,600,531",Asia,32,"1,303",3,0,0,69
213,St. Barth,"5,138",0,6,0,N/A,N/A,N/A,0,"516,901",604,"78,646","7,912,072","9,940",North America,2,"1,657",0,0,0,"469,819"
206,St. Vincent Grenadines,"7,098",0,115,0,"6,641",0,342,0,"63,559","1,030","100,720","901,903","111,675",North America,16,971,1,0,0,"3,062"
144,Sudan,"63,074",0,"4,958",0,N/A,N/A,N/A,0,"1,372",108,"562,941","12,242","45,985,365",Africa,729,"9,275",82,0,0,387
136,Suriname,"80,982",0,"1,380",0,"49,599",0,"30,003",0,"135,513","2,309","238,565","399,206","597,598",South America,7,433,3,0,0,"50,206"
41,Sweden,"2,545,671",0,"19,402",0,"2,503,116",0,"23,153",16,"248,828","1,896","18,775,827","1,835,256","10,230,633",Europe,4,527,1,0,0,"2,263"
36,Switzerland,"3,953,866",0,"14,066",0,"3,787,559","+20,778","152,241",67,"449,985","1,601","21,877,329","2,489,835","8,786,659",Europe,2,625,0,0,0,"17,326"
148,Syria,"56,453",0,"3,150",0,"52,861",0,442,0,"3,070",171,"146,269","7,955","18,387,666",Asia,326,"5,837",126,0,0,24
27,Taiwan,"4,696,969","+21,869","9,136",+54,"4,231,381","+25,237","456,452",0,"196,471",382,"22,996,312","961,920","23,906,685",Asia,5,"2,617",1,915,2,"19,093"
180,Tajikistan,"17,786",0,125,0,"17,264",0,397,0,"1,781",13,0,0,"9,984,604",Asia,561,"79,877",0,0,0,40
159,Tanzania,"37,865",0,841,0,N/A,N/A,N/A,7,598,13,0,0,"63,284,174",Africa,"1,671","75,249",0,0,0,582
28,Thailand,"4,600,978","+2,253","31,529",+34,"4,548,339","+2,483","21,110","1,496","65,573",449,"17,270,775","246,144","70,165,297",Asia,15,"2,225",4,32,0.5,301
172,Timor-Leste,"22,980",0,133,0,"22,836",0,11,0,"16,763",97,"271,855","198,313","1,370,838",Asia,60,"10,307",5,0,0,8
158,Togo,"38,145",0,280,0,"37,674",0,191,0,"4,393",32,"771,532","88,850","8,683,553",Africa,228,"31,013",11,0,0,22
189,Tonga,"12,554",0,12,0,"12,423",0,119,0,"116,032",111,"535,009","4,944,905","108,194",Australia/Oceania,9,"9,016",0,0,0,"1,100"
119,Trinidad and Tobago,"172,267",0,"4,061",0,"161,837",0,"6,369",18,"122,267","2,882","796,122","565,050","1,408,941",North America,8,347,2,0,0,"4,520"
61,Tunisia,"1,134,660",0,"29,105",0,N/A,N/A,N/A,29,"93,955","2,410","4,863,059","402,684","12,076,625",Africa,11,415,2,0,0,631
10,Turkey,"15,889,495",0,"99,341",0,"15,487,468",0,"302,686",975,"184,263","1,152","162,743,369","1,887,263","86,232,463",Asia,5,868,1,0,0,"3,510"
209,Turks and Caicos,"6,328",0,36,0,"6,263",0,29,4,"158,955",904,"549,243","13,796,609","39,810",North America,6,"1,106",0,0,0,728
228,Tuvalu,8,0,0,0,0,0,8,0,661,0,0,0,"12,096",Australia/Oceania,"1,512",0,0,0,0,661
68,UAE,"995,777",0,"2,335",0,"974,601",0,"18,841",0,"98,206",230,"178,234,096","17,577,818","10,139,717",Asia,10,"4,342",0,0,0,"1,858"
6,UK,"23,368,899",0,"185,052",0,"22,807,656","+24,564","376,191",146,"340,506","2,696","522,526,476","7,613,686","68,629,899",Europe,3,371,0,0,0,"5,481"
1,USA,"93,739,666",0,"1,057,811",0,"88,700,969",0,"3,980,886","4,717",0,0,"1,074,632,797",0,0,North America,0,0,0,0,0,0
120,Uganda,"169,396",0,"3,628",0,"100,431",0,"65,337",3,"3,474",74,"3,012,408","61,787","48,755,027",Africa,288,"13,439",16,0,0,"1,340"
23,Ukraine,"5,023,710",0,"108,713",0,"4,911,468",+156,"3,529",177,"116,327","2,517","19,521,252","452,027","43,185,997",Europe,9,397,2,0,0,82
72,Uruguay,"971,728",0,"7,415",0,"962,545",0,"1,768",18,"277,729","2,119","6,114,822","1,747,671","3,498,841",South America,4,472,1,0,0,505
108,Uzbekistan,"243,232",0,"1,637",0,"240,478",0,"1,117",23,"7,054",47,"1,377,915","39,961","34,481,234",Asia,142,"21,064",25,0,0,32
193,Vanuatu,"11,723",0,14,0,"11,672",0,37,0,"36,393",43,"24,976","77,536","322,120",Australia/Oceania,27,"23,009",13,0,0,115
225,Vatican City,29,0,0,0,29,0,0,0,"36,025",0,0,0,805,Europe,28,0,0,0,0,0
87,Venezuela,"537,487",0,"5,766",0,"526,664",0,"5,057",36,"19,014",204,"3,359,014","118,828","28,267,936",South America,53,"4,903",8,0,0,179
13,Vietnam,"11,189,968",0,"43,094",0,"9,948,174",0,"1,198,700",112,"112,841",435,"85,826,548","865,486","99,165,741",Asia,9,"2,301",1,0,0,"12,088"
221,Wallis and Futuna,761,0,7,0,438,0,316,0,"70,274",646,"20,508","1,893,804","10,829",Australia/Oceania,14,"1,547",1,0,0,"29,181"
226,Western Sahara,10,0,1,0,9,0,0,0,16,2,0,0,"627,981",Africa,"62,798","627,981",0,0,0,0
0,World,"587,008,542","+479,471","6,431,184",+604,"557,084,999","+466,798","23,492,359","43,879","75,308",825.1,0,0,0,All,0,0,0,0,0,0
192,Yemen,"11,895",0,"2,152",0,"9,117",0,626,23,381,69,"265,253","8,503","31,196,528",Asia,"2,623","14,497",118,0,0,20
99,Zambia,"330,575",0,"4,015",0,"325,321",0,"1,239",1,"16,989",206,"3,642,327","187,187","19,458,177",Africa,59,"4,846",5,0,0,64
107,Zimbabwe,"256,444",0,"5,581",0,"250,426",0,437,12,"16,745",364,"2,453,554","160,213","15,314,344",Africa,60,"2,744",6,0,0,29
